date,label,risk_multiplier,rain_anom_30d,dry_frac_30d
2018-06-18,calm_bull,0.9,0.5533,0.1667
2018-06-19,calm_bull,0.9,0.5713,0.1333
2018-06-20,calm_bull,0.9,0.5814,0.1333
2018-06-21,calm_bull,0.9,0.5461,0.1667
2018-06-22,calm_bull,0.9,0.6133,0.1667
2018-06-25,calm_bull,0.9,0.568,0.1667
2018-06-26,calm_bull,0.9,0.6437,0.1333
2018-06-27,calm_bull,0.9,0.7136,0.1333
2018-06-28,calm_bull,0.9,0.7427,0.1333
2018-06-29,calm_bull,0.9,0.7364,0.1333
2018-07-02,calm_bull,1.0,0.5826,0.1333
2018-07-03,calm_bull,1.0,0.3849,0.1333
2018-07-05,calm_bull,1.0,0.2453,0.1333
2018-07-06,calm_bull,1.0,0.2937,0.1333
2018-07-09,calm_bull,0.9,0.4582,0.1333
2018-07-10,calm_bull,0.9,0.6242,0.1333
2018-07-11,calm_bull,1.0,0.6797,0.1333
2018-07-12,calm_bull,1.0,0.6621,0.1333
2018-07-13,calm_bull,1.0,0.7484,0.1
2018-07-16,calm_bull,1.0,1.0153,0.0667
2018-07-17,calm_bull,1.0,0.9552,0.0667
2018-07-18,calm_bull,1.0,1.0682,0.0667
2018-07-19,calm_bull,1.0,1.1344,0.0667
2018-07-20,calm_bull,0.9,1.1507,0.0667
2018-07-23,calm_bull,0.9,1.3726,0.0333
2018-07-24,calm_bull,0.9,1.4189,0.0
2018-07-25,calm_bull,0.9,1.4379,0.0
2018-07-26,calm_bull,0.9,1.424,0.0
2018-07-27,calm_bull,0.9,1.3674,0.0
2018-07-30,calm_bull,0.9,1.5682,0.0
2018-07-31,calm_bull,0.9,1.5874,0.0
2018-08-01,calm_bull,0.9,1.5879,0.0333
2018-08-02,calm_bull,0.9,1.6201,0.0333
2018-08-03,calm_bull,0.9,1.6154,0.0333
2018-08-06,calm_bull,0.9,2.0747,0.0333
2018-08-07,calm_bull,0.9,2.0138,0.0333
2018-08-08,calm_bull,0.9,1.9091,0.0333
2018-08-09,calm_bull,0.9,1.7501,0.0333
2018-08-10,calm_bull,0.9,1.6055,0.0333
2018-08-13,calm_bull,0.9,1.4253,0.0333
